               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16484,            0.079979,                   0,           0.0081739,           0.0051744,           0.0027679,          0.00070604,             0.14803,            0.099754,                   0,            0.070187,           0.0033125,           0.0033125
                   1,             0.15042,            0.089361,                   0,            0.027788,            0.027171,           0.0072401,           0.0017493,             0.14543,            0.098158,                   0,            0.040122,             0.00658,             0.00658
                   2,             0.14858,            0.098166,                   0,            0.028764,            0.026278,           0.0072282,           0.0018246,              0.1447,             0.10031,                   0,           0.0099899,           0.0097816,           0.0097816
                   3,              0.1484,            0.097499,                   0,            0.035096,            0.031919,           0.0099692,           0.0025904,             0.14392,            0.098641,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.1474,            0.098513,                   0,            0.040627,            0.039589,            0.010061,           0.0025242,             0.14353,             0.10619,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.14774,            0.097913,                   0,            0.051712,            0.044967,            0.013544,           0.0034315,             0.14319,             0.10156,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.14705,            0.097903,                   0,            0.052283,            0.040239,            0.016842,           0.0041916,             0.14299,             0.10017,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.14675,             0.10222,                   0,            0.059397,            0.050247,             0.01702,           0.0043814,             0.14272,             0.10424,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.14669,             0.10103,                   0,             0.04856,            0.042227,            0.014569,           0.0039802,             0.14329,             0.10215,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.14663,             0.10222,                   0,             0.05122,            0.040665,            0.015493,           0.0040318,             0.14288,             0.10067,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.14629,             0.10368,                   0,            0.056173,            0.045778,            0.016484,           0.0041684,             0.14262,             0.10337,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.14628,              0.1029,                   0,            0.058762,            0.050121,            0.019873,           0.0050451,             0.14221,             0.10182,                   0,             0.00901,             0.00901,             0.00901
