               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11825,             0.17462,            0.026438,                   0,                   0,                   0,                   0,             0.11094,            0.086691,            0.025513,              0.0964,              0.0004,              0.0004
                   1,             0.11616,             0.22515,            0.025898,                   0,                   0,                   0,                   0,             0.10894,            0.089166,            0.024446,            0.091893,          0.00089258,          0.00089258
                   2,             0.11258,             0.19328,            0.024843,          0.00082508,           0.0017007,          0.00041727,          8.3454e-05,             0.10717,            0.091332,            0.022878,            0.087377,           0.0013769,           0.0013769
                   3,             0.10946,             0.20979,            0.024107,           0.0077854,           0.0034014,            0.001995,          0.00040593,             0.10531,            0.093727,            0.021419,            0.082853,            0.001853,            0.001853
                   4,             0.10696,             0.22866,            0.022497,            0.007115,           0.0034014,           0.0011774,          0.00048777,             0.10216,              0.1098,            0.018968,            0.078321,           0.0023208,           0.0023208
                   5,             0.10508,             0.21184,            0.021629,            0.012015,            0.010204,           0.0034856,          0.00072591,            0.098217,               0.151,            0.016299,             0.07378,           0.0027804,           0.0027804
                   6,            0.098261,             0.21905,            0.018653,             0.01691,             0.02381,           0.0084538,           0.0031727,            0.089344,             0.23578,             0.01251,            0.069232,           0.0032317,           0.0032317
                   7,            0.089389,             0.21639,            0.016389,             0.55097,            0.022109,            0.012467,           0.0035723,            0.087173,             0.29111,             0.01038,            0.064675,           0.0036748,           0.0036748
                   8,            0.083386,              0.2146,            0.014537,             0.53843,            0.030612,             0.01536,           0.0044617,            0.088034,             0.25847,           0.0080524,             0.06011,           0.0041096,           0.0041096
                   9,            0.082605,             0.21958,            0.014383,             0.52722,            0.042517,            0.012214,           0.0039994,            0.082038,             0.25757,           0.0074137,            0.055536,           0.0045362,           0.0045362
                  10,            0.077391,             0.19931,            0.014022,             0.56968,            0.093537,            0.030042,           0.0091854,             0.08896,             0.22363,           0.0066211,            0.050955,           0.0049545,           0.0049545
                  11,            0.080275,             0.20494,            0.013777,             0.52854,             0.14456,            0.016762,           0.0068924,            0.085251,             0.20233,           0.0060684,            0.046365,           0.0053646,           0.0053646
                  12,            0.078773,              0.2247,            0.015752,             0.62093,             0.16327,            0.092436,            0.034513,            0.074613,             0.20357,           0.0059248,            0.041766,           0.0057664,           0.0057664
                  13,            0.080083,             0.21518,            0.017674,             0.65631,             0.18951,             0.12699,            0.047939,            0.072533,             0.16006,           0.0058164,             0.03716,             0.00616,             0.00616
                  14,            0.077347,             0.20449,            0.013404,             0.60645,             0.19898,             0.10389,            0.029277,            0.074897,             0.16968,           0.0058744,            0.032545,           0.0065453,           0.0065453
                  15,             0.08048,              0.1862,            0.012523,              0.6098,             0.13435,            0.093696,            0.040464,            0.091573,             0.17772,           0.0058369,            0.027922,           0.0069224,           0.0069224
                  16,            0.073902,             0.21411,             0.01227,             0.64417,             0.20918,             0.13552,            0.057406,            0.072358,              0.1529,           0.0060044,            0.023291,           0.0072912,           0.0072912
                  17,            0.073061,             0.18887,            0.014719,             0.62752,             0.14966,               0.111,            0.038815,            0.086295,             0.16241,           0.0058876,            0.018652,           0.0076518,           0.0076518
                  18,            0.079054,             0.20035,            0.014243,             0.68447,             0.21875,             0.14131,            0.058386,             0.07576,             0.14058,           0.0063136,            0.014004,           0.0080041,           0.0080041
                  19,            0.071312,             0.24922,            0.014106,             0.64717,             0.23129,             0.13684,            0.050491,             0.07239,              0.1606,           0.0061385,           0.0093482,           0.0083482,           0.0083482
                  20,            0.069072,             0.22669,            0.013623,             0.67702,             0.21769,             0.16228,            0.066673,            0.064088,             0.11611,           0.0063389,             0.00835,             0.00835,             0.00835
                  21,            0.067617,             0.22148,             0.01271,             0.68837,             0.19738,             0.15986,            0.057166,            0.079723,             0.15688,           0.0061243,             0.00835,             0.00835,             0.00835
                  22,            0.068015,             0.22664,            0.016042,             0.69323,             0.21429,              0.1868,            0.065199,             0.06391,             0.11181,           0.0066751,           0.0082675,           0.0082675,           0.0082675
                  23,            0.072177,             0.20196,            0.012573,             0.72167,             0.19728,             0.18696,            0.060998,            0.069412,             0.10995,           0.0069662,            0.008185,            0.008185,            0.008185
                  24,            0.070763,             0.17339,            0.014037,             0.63315,             0.17346,             0.12436,            0.047219,             0.07446,             0.09697,           0.0070249,           0.0081025,           0.0081025,           0.0081025
                  25,            0.069895,             0.18932,            0.012788,             0.73761,             0.20918,             0.21627,            0.090046,            0.067436,            0.097267,           0.0072418,             0.00802,             0.00802,             0.00802
                  26,             0.07235,             0.20544,            0.013694,             0.66587,             0.19388,             0.14809,            0.048597,             0.07581,            0.093406,           0.0071039,           0.0079375,           0.0079375,           0.0079375
                  27,            0.061708,             0.20466,            0.012512,             0.67759,             0.22959,             0.15243,            0.067068,            0.061627,            0.097592,           0.0072202,            0.007855,            0.007855,            0.007855
                  28,            0.062323,             0.19999,             0.01546,             0.67643,             0.22449,             0.16583,            0.063664,            0.059307,             0.09008,            0.007243,           0.0077725,           0.0077725,           0.0077725
                  29,            0.062137,             0.18395,            0.013465,             0.67971,             0.19728,             0.15803,            0.080797,            0.066701,            0.090738,           0.0072316,             0.00769,             0.00769,             0.00769
                  30,            0.059004,             0.17686,             0.01224,             0.71323,             0.21939,             0.19765,            0.096629,             0.05625,            0.083057,           0.0075011,           0.0076075,           0.0076075,           0.0076075
                  31,            0.049953,             0.17093,            0.012224,             0.61662,             0.18027,             0.10672,            0.040464,             0.07345,            0.098537,             0.00709,            0.007525,            0.007525,            0.007525
                  32,            0.071271,              0.1916,            0.011374,             0.69509,             0.22279,             0.17603,            0.090478,            0.057423,            0.086101,           0.0077984,           0.0074425,           0.0074425,           0.0074425
